央卫咪咕,#genre#
湖南卫视咪咕,http://j.s.bkpcp.top/jj/hunws
广东卫视咪咕,http://j.s.bkpcp.top/jj/gdws
深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws
山东卫视咪咕,http://j.s.bkpcp.top/jj/sdws
河南卫视咪咕,http://j.s.bkpcp.top/jj/hnws
江西卫视咪咕,http://j.s.bkpcp.top/jj/jxws
湖北卫视咪咕,http://j.s.bkpcp.top/jj/hubws
海南卫视咪咕,http://j.s.bkpcp.top/jj/hinws
陕西卫视咪咕,http://j.s.bkpcp.top/jj/sxws
兵团卫视咪咕,http://j.s.bkpcp.top/jj/btws
黑龙江视咪咕,http://j.s.bkpcp.top/jj/hljws
CCTV-01咪咕,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02咪咕,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03咪咕,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04咪咕,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06咪咕,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07咪咕,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08咪咕,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09咪咕,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10咪咕,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11咪咕,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12咪咕,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13咪咕,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14咪咕,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15咪咕,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16咪咕,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17咪咕,http://t.061899.xyz/tl/tl.php?id=cctv17
北京卫视咪咕,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视咪咕,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视咪咕,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视咪咕,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视咪咕,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视咪咕,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视咪咕,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视咪咕,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视咪咕,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视咪咕,http://t.061899.xyz/tl/tl.php?id=hljws

赛事咪咕,#genre#
赛事睛彩竞技,https://msj.188766.xyz/play?id=3000000020000011528&token=9eb6f7829eb6f7829eb6f7829eb6f782
赛事睛彩篮球,https://msj.188766.xyz/play?id=3000000020000011529&token=9eb6f7839eb6f7839eb6f7839eb6f783
赛事睛彩青少,https://msj.188766.xyz/play?id=3000000020000011525&token=9eb6f77f9eb6f77f9eb6f77f9eb6f77f
赛事睛彩广场,https://msj.188766.xyz/play?id=3000000020000011523&token=9eb6f77d9eb6f77d9eb6f77d9eb6f77d
军事国防央七,https://msj.188766.xyz/play?id=3000000010000011518&token=09d244a209d244a209d244a209d244a2
军事国防央七,https://msj.188766.xyz/play?id=3000000020000011522&token=9eb6f77c9eb6f77c9eb6f77c9eb6f77c
赛事咪咕播01,https://msj.188766.xyz/play?id=3000000001000005308&token=692ab55a692ab55a692ab55a692ab55a
赛事咪咕播02,https://msj.188766.xyz/play?id=3000000001000005969&token=692acc9b692acc9b692acc9b692acc9b
赛事咪咕播03,https://msj.188766.xyz/play?id=3000000001000007218&token=692b9a76692b9a76692b9a76692b9a76
赛事咪咕播04,https://msj.188766.xyz/play?id=3000000001000008001&token=692c072d692c072d692c072d692c072d
赛事咪咕播05,https://msj.188766.xyz/play?id=3000000001000008176&token=692c0bcc692c0bcc692c0bcc692c0bcc
赛事咪咕播06,https://msj.188766.xyz/play?id=3000000001000008379&token=692c1351692c1351692c1351692c1351
赛事咪咕播07,https://msj.188766.xyz/play?id=3000000001000010129&token=69367fbd69367fbd69367fbd69367fbd
赛事咪咕播08,https://msj.188766.xyz/play?id=3000000001000010948&token=69369e0269369e0269369e0269369e02
赛事咪咕播09,https://msj.188766.xyz/play?id=3000000001000028638&token=69484d1969484d1969484d1969484d19
赛事咪咕播10,https://msj.188766.xyz/play?id=3000000001000031494&token=69532f3569532f3569532f3569532f35
赛事咪咕播11,https://msj.188766.xyz/play?id=3000000010000000097&token=09c3a6f409c3a6f409c3a6f409c3a6f4
赛事咪咕播12,https://msj.188766.xyz/play?id=3000000010000002019&token=09c48ebc09c48ebc09c48ebc09c48ebc
赛事咪咕播13,https://msj.188766.xyz/play?id=3000000010000002809&token=09c4aca509c4aca509c4aca509c4aca5
赛事咪咕播14,https://msj.188766.xyz/play?id=3000000010000003915&token=09c524e009c524e009c524e009c524e0
赛事咪咕播15,https://msj.188766.xyz/play?id=3000000010000004193&token=09c57c2d09c57c2d09c57c2d09c57c2d
赛事咪咕播16,https://msj.188766.xyz/play?id=3000000010000005837&token=09c60a1d09c60a1d09c60a1d09c60a1d
赛事咪咕播17,https://msj.188766.xyz/play?id=3000000010000006077&token=09c660f009c660f009c660f009c660f0
赛事咪咕播18,https://msj.188766.xyz/play?id=3000000010000006658&token=09c6773909c6773909c6773909c67739
赛事咪咕播19,https://msj.188766.xyz/play?id=3000000010000009788&token=09c7d87409c7d87409c7d87409c7d874
赛事咪咕播20,https://msj.188766.xyz/play?id=3000000010000010833&token=09d1dbbf09d1dbbf09d1dbbf09d1dbbf
赛事咪咕播21,https://msj.188766.xyz/play?id=3000000010000011297&token=09d23a5609d23a5609d23a5609d23a56
赛事咪咕播22,https://msj.188766.xyz/play?id=3000000010000012558&token=09d2b97d09d2b97d09d2b97d09d2b97d
赛事咪咕播23,https://msj.188766.xyz/play?id=3000000010000012616&token=09d2bcc009d2bcc009d2bcc009d2bcc0
赛事咪咕播24,https://msj.188766.xyz/play?id=3000000010000015470&token=09d4130f09d4130f09d4130f09d4130f
赛事咪咕播25,https://msj.188766.xyz/play?id=3000000010000015560&token=09d416b109d416b109d416b109d416b1
赛事咪咕播26,https://msj.188766.xyz/play?id=3000000010000017678&token=09d5035709d5035709d5035709d50357
赛事咪咕播27,https://msj.188766.xyz/play?id=3000000010000019839&token=09d5f31c09d5f31c09d5f31c09d5f31c
赛事咪咕播28,https://msj.188766.xyz/play?id=3000000010000021904&token=09e06b0409e06b0409e06b0409e06b04
赛事咪咕播29,https://msj.188766.xyz/play?id=3000000010000023434&token=09e1415a09e1415a09e1415a09e1415a
赛事咪咕播30,https://msj.188766.xyz/play?id=3000000010000025380&token=09e226ee09e226ee09e226ee09e226ee
赛事咪咕播31,https://msj.188766.xyz/play?id=3000000010000027691&token=09e31b0f09e31b0f09e31b0f09e31b0f
赛事咪咕播32,https://msj.188766.xyz/play?id=3000000010000031669&token=09ee780109ee780109ee780109ee7801
赛事咪咕播33,https://msj.188766.xyz/play?id=3000000020000011518&token=9eb6f7639eb6f7639eb6f7639eb6f763
赛事咪咕播34,https://msj.188766.xyz/play?id=3000000020000011519&token=9eb6f7649eb6f7649eb6f7649eb6f764
赛事咪咕播35,https://msj.188766.xyz/play?id=3000000020000011520&token=9eb6f77a9eb6f77a9eb6f77a9eb6f77a
赛事咪咕播36,https://msj.188766.xyz/play?id=3000000020000011521&token=9eb6f77b9eb6f77b9eb6f77b9eb6f77b
赛事咪咕播4k,https://msj.188766.xyz/play?id=3000000010000005180&token=09c5f06a09c5f06a09c5f06a09c5f06a
赛事至臻视界,https://msj.188766.xyz/play?id=3000000010000015686&token=09d41ab609d41ab609d41ab609d41ab6
赛事睛彩竞技,http://rihou.cc:555/tv/[mg]睛彩竞技
赛事睛彩竞技,http://rihou.cc:555/tv/[mg]睛彩竞技|
赛事睛彩篮球,http://rihou.cc:555/tv/[mg]睛彩篮球
赛事睛彩篮球,http://rihou.cc:555/tv/[mg]睛彩篮球|
赛事睛彩青少,http://rihou.cc:555/tv/[mg]睛彩青少
赛事睛彩青少,http://rihou.cc:555/tv/[mg]睛彩青少|
赛事睛彩广场,http://rihou.cc:555/tv/[mg]睛彩广场
赛事睛彩广场,http://rihou.cc:555/tv/[mg]睛彩广场|
军事国防央七,http://rihou.cc:555/tv/[mg]国防央七
军事国防央七,http://rihou.cc:555/tv/[mg]国防央七|
赛事咪咕播01,http://rihou.cc:555/tv/[mg]咪咕播01
赛事咪咕播02,http://rihou.cc:555/tv/[mg]咪咕播02
赛事咪咕播03,http://rihou.cc:555/tv/[mg]咪咕播03
赛事咪咕播04,http://rihou.cc:555/tv/[mg]咪咕播04
赛事咪咕播05,http://rihou.cc:555/tv/[mg]咪咕播05
赛事咪咕播06,http://rihou.cc:555/tv/[mg]咪咕播06
赛事咪咕播07,http://rihou.cc:555/tv/[mg]咪咕播07
赛事咪咕播08,http://rihou.cc:555/tv/[mg]咪咕播08
赛事咪咕播09,http://rihou.cc:555/tv/[mg]咪咕播09
赛事咪咕播10,http://rihou.cc:555/tv/[mg]咪咕播10
赛事咪咕播11,http://rihou.cc:555/tv/[mg]咪咕播11
赛事咪咕播12,http://rihou.cc:555/tv/[mg]咪咕播12
赛事咪咕播13,http://rihou.cc:555/tv/[mg]咪咕播13
赛事咪咕播14,http://rihou.cc:555/tv/[mg]咪咕播14
赛事咪咕播15,http://rihou.cc:555/tv/[mg]咪咕播15
赛事咪咕播16,http://rihou.cc:555/tv/[mg]咪咕播16
赛事咪咕播17,http://rihou.cc:555/tv/[mg]咪咕播17
赛事咪咕播18,http://rihou.cc:555/tv/[mg]咪咕播18
赛事咪咕播19,http://rihou.cc:555/tv/[mg]咪咕播19
赛事咪咕播20,http://rihou.cc:555/tv/[mg]咪咕播20
赛事咪咕播21,http://rihou.cc:555/tv/[mg]咪咕播21
赛事咪咕播22,http://rihou.cc:555/tv/[mg]咪咕播22
赛事咪咕播23,http://rihou.cc:555/tv/[mg]咪咕播23
赛事咪咕播24,http://rihou.cc:555/tv/[mg]咪咕播24
赛事咪咕播25,http://rihou.cc:555/tv/[mg]咪咕播25
赛事咪咕播26,http://rihou.cc:555/tv/[mg]咪咕播26
赛事咪咕播27,http://rihou.cc:555/tv/[mg]咪咕播27
赛事咪咕播28,http://rihou.cc:555/tv/[mg]咪咕播28
赛事咪咕播29,http://rihou.cc:555/tv/[mg]咪咕播29
赛事咪咕播30,http://rihou.cc:555/tv/[mg]咪咕播30
赛事咪咕播31,http://rihou.cc:555/tv/[mg]咪咕播31
赛事咪咕播32,http://rihou.cc:555/tv/[mg]咪咕播32
赛事咪咕播33,http://rihou.cc:555/tv/[mg]咪咕播33
赛事咪咕播34,http://rihou.cc:555/tv/[mg]咪咕播34
赛事咪咕播35,http://rihou.cc:555/tv/[mg]咪咕播35
赛事咪咕播36,http://rihou.cc:555/tv/[mg]咪咕播36
赛事咪咕播4k,http://rihou.cc:555/tv/[mg]咪咕播4k
赛事至臻视界,http://rihou.cc:555/tv/[mg]至臻视界

赛事精锦,#genre#
⬇️各大赛事精锦⬇️,http://rihou.cc:555/tv/t
联赛赛事回放,http://rihou.cc:555/tv/联赛回放赛09
NBA赛事回放,http://rihou.cc:555/tv/NBA回放赛09
羽球赛事回放,http://rihou.cc:555/tv/羽球回放赛09
橄球赛事回放,http://rihou.cc:555/tv/橄球回放赛09
乒球赛事回放,http://rihou.cc:555/tv/乒球回放赛09
网球赛事回放,http://rihou.cc:555/tv/网球回放赛09
排球赛事回放,http://rihou.cc:555/tv/排球回放赛09
格斗赛事回放,http://rihou.cc:555/tv/格斗回放赛09
斯赛赛事回放,http://rihou.cc:555/tv/斯赛回放赛09
WCBA赛,#genre#
02-09⬇️女篮俱乐部杯⬇️🏀📡,http://rihou.cc:555/tv/t
14:30福建金篮🆚新疆天山,http://rihou.cc:555/tv/v
国🔊09咪评述,http://rihou.cc:555/tv/09WCBA咪评述
14:30河南豫光金铅🆚北京首钢园,http://rihou.cc:555/tv/v
国🔊09咪述评,http://rihou.cc:555/tv/09WCBA咪述评
14:30山西竹叶青酒🆚合肥文旅,http://rihou.cc:555/tv/v
国🔊09咪评评,http://rihou.cc:555/tv/09WCBA咪评评
17:00浙江稠州银行🆚江西赣星,http://rihou.cc:555/tv/v
国🔊09咪述述,http://rihou.cc:555/tv/09WCBA咪述述
17:00厦门环东文旅🆚陕西榆林天泽,http://rihou.cc:555/tv/v
国🔊09咪旁述,http://rihou.cc:555/tv/09WCBA咪旁述
17:00辽宁大连体产🆚石家庄英励,http://rihou.cc:555/tv/v
国🔊09咪述旁,http://rihou.cc:555/tv/09WCBA咪述旁
19:30山东赤水河酒🆚四川蜀道远达,http://rihou.cc:555/tv/v
国🔊09咪旁旁,http://rihou.cc:555/tv/09WCBA咪旁旁
19:30武汉盛帆黄鹤🆚上海浦发银行,http://rihou.cc:555/tv/v
国🔊09咪旁评,http://rihou.cc:555/tv/09WCBA咪旁评
19:30东莞新彤盛🆚江苏南钢,http://rihou.cc:555/tv/v
国🔊09咪评旁,http://rihou.cc:555/tv/09WCBA咪评旁
CBA赛评,#genre#
02-09⬇️CBA俱乐部杯淘汰赛⬇️🏀📡,http://rihou.cc:555/tv/t
19:30山西汾酒🆚浙江方兴,http://rihou.cc:555/tv/v
国🔊09咪评述,http://rihou.cc:555/tv/09CBA咪评述
NBA赛评,#genre#
02-10⬇️NBA常规赛⬇️🏀📡,http://rihou.cc:555/tv/t
08:00活塞🆚黄蜂,http://rihou.cc:555/tv/v
国🔊10咪评述,http://rihou.cc:555/tv/10NBA咪评述
国🔊10腾评述,http://rihou.cc:555/tv/10NBA腾评述
08:30雄鹿🆚魔术,http://rihou.cc:555/tv/v
国🔊10咪述评,http://rihou.cc:555/tv/10NBA咪述评
国🔊10腾述评,http://rihou.cc:555/tv/10NBA腾述评
08:30爵士🆚热火,http://rihou.cc:555/tv/v
国🔊10咪评评,http://rihou.cc:555/tv/10NBA咪评评
国🔊10腾评评,http://rihou.cc:555/tv/10NBA腾评评
08:30公牛🆚篮网,http://rihou.cc:555/tv/v
国🔊10咪述述,http://rihou.cc:555/tv/10NBA咪述述
国🔊10腾述述,http://rihou.cc:555/tv/10NBA腾述述
09:00国王🆚鹈鹕,http://rihou.cc:555/tv/v
国🔊10咪旁述,http://rihou.cc:555/tv/10NBA咪旁述
国🔊10腾旁述,http://rihou.cc:555/tv/10NBA腾旁述
09:00老鹰🆚木狼,http://rihou.cc:555/tv/v
国🔊10咪述旁,http://rihou.cc:555/tv/10NBA咪述旁
国🔊10腾述旁,http://rihou.cc:555/tv/10NBA腾述旁
10:00骑士🆚掘金,http://rihou.cc:555/tv/v
国🔊10咪旁旁,http://rihou.cc:555/tv/10NBA咪旁旁
国🔊10腾旁旁,http://rihou.cc:555/tv/10NBA腾旁旁
11:00雷霆🆚湖人,http://rihou.cc:555/tv/v
国🔊10咪旁评,http://rihou.cc:555/tv/10NBA咪旁评
国🔊10腾旁评,http://rihou.cc:555/tv/10NBA腾旁评
11:00灰熊🆚勇士,http://rihou.cc:555/tv/v
国🔊10咪评旁,http://rihou.cc:555/tv/10NBA咪评旁
国🔊10腾评旁,http://rihou.cc:555/tv/10NBA腾评旁
11:0076人🆚开拓者,http://rihou.cc:555/tv/v
国🔊10咪解评,http://rihou.cc:555/tv/10NBA咪解评
国🔊10腾解评,http://rihou.cc:555/tv/10NBA腾解评
02-11⬇️NBA常规赛⬇️🏀📡,http://rihou.cc:555/tv/t
08:30步行者🆚尼克斯,http://rihou.cc:555/tv/v
国🔊11咪评述,http://rihou.cc:555/tv/11NBA咪评述
国🔊11腾评述,http://rihou.cc:555/tv/11NBA腾评述
09:00快船🆚火箭,http://rihou.cc:555/tv/v
国🔊11咪述评,http://rihou.cc:555/tv/11NBA咪述评
国🔊11腾述评,http://rihou.cc:555/tv/11NBA腾述评
10:00太阳🆚独行侠,http://rihou.cc:555/tv/v
国🔊11咪评评,http://rihou.cc:555/tv/11NBA咪评评
国🔊11腾评评,http://rihou.cc:555/tv/11NBA腾评评
11:30马刺🆚湖人,http://rihou.cc:555/tv/v
国🔊11咪述述,http://rihou.cc:555/tv/11NBA咪述述
国🔊11腾述述,http://rihou.cc:555/tv/11NBA腾述述
意甲赛评,#genre#
02-10⬇️意甲第24轮⬇️⚽📡,http://rihou.cc:555/tv/t
01:00阿特兰大🆚克雷莫纳,http://rihou.cc:555/tv/v
国🔊鲁靖明评,http://rihou.cc:555/tv/10意鲁靖明评
03:45罗马🆚卡利亚里,http://rihou.cc:555/tv/v
国🔊02咪咕评,http://rihou.cc:555/tv/v
原🔊英文原声,http://rihou.cc:555/tv/v
西甲赛评,#genre#
02-10⬇️西甲第23轮⬇️⚽📡,http://rihou.cc:555/tv/t
04:00维拉里尔🆚爱斯宾奴,http://rihou.cc:555/tv/v
国🔊李霄评述,http://rihou.cc:555/tv/10西李霄评述

欣赏频道,#genre#
粤语戏曲欣赏,http://tl.061833.xyz/tl/null-15
粤语戏曲欣赏,http://rihou.cc:555/tv/[Uk]无线戏曲
粤语长片欣赏,http://tl.061833.xyz/tl/null-10
粤语长片欣赏,http://rihou.cc:555/tv/[Uk]无线粤片
广东珠江欣赏,http://rihou.cc:555/tv/[AtI]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[At|]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[Cx]广东珠江
⬇️特闽Uktv⬇️,http://rihou.cc:555/tv/v
凤凰资讯Uktv,http://rihou.cc:555/tv/[Uk]凤凰资讯
Plus综合Uktv,http://rihou.cc:555/tv/[Uk]Plus综合
Now星影Uktv,http://rihou.cc:555/tv/[Uk]Now星影
Now爆谷Uktv,http://rihou.cc:555/tv/[Uk]Now爆谷
Now财经Uktv,http://rihou.cc:555/tv/[Uk]Now财经
Now英超Uktv,http://rihou.cc:555/tv/[Hk]Now英超
有线新闻Uktv,http://rihou.cc:555/tv/[Uk]有线新闻
无线新闻Uktv,http://rihou.cc:555/tv/[Uk]无线新闻
中天新闻Uktv,http://rihou.cc:555/tv/[Uk]中天新聞
寰宇新闻Uktv,http://rihou.cc:555/tv/[Uk]寰宇新闻
民视新闻Uktv,http://rihou.cc:555/tv/[Uk]民视新闻
有线综合Uktv,http://rihou.cc:555/tv/[Uk]有线综合
无线翡翠Uktv,http://rihou.cc:555/tv/[Uk]无线翡翠
无线明珠Uktv,http://rihou.cc:555/tv/[Uk]无线明珠
无线娱乐Uktv,http://rihou.cc:555/tv/[Uk]无线娱乐
无线经典Uktv,http://rihou.cc:555/tv/[Uk]无线经典
无线亚剧Uktv,http://rihou.cc:555/tv/[Uk]无线亚剧
无线戏曲Uktv,http://rihou.cc:555/tv/[Uk]无线戏曲
无线粤片Uktv,http://rihou.cc:555/tv/[Uk]无线粤片
黄金翡翠Uktv,http://rihou.cc:555/tv/[Uk]黄金翡翠
美亚电影Uktv,http://rihou.cc:555/tv/[Uk]美亚电影
纬来电影Uktv,http://rihou.cc:555/tv/[Uk]纬来电影
闽壹电影Uktv,http://rihou.cc:555/tv/[Uk]闽壹电影
天映经典Uktv,http://rihou.cc:555/tv/[Uk]天映经典
无线体育Uktv,http://rihou.cc:555/tv/[Uk]无线体育
广东体育Uktv,http://rihou.cc:555/tv/[Uk]广东体育
